ID,sentence,speaker
OOD_TAM_M_0033,"ஐஜி, ஐஆர்சிடிசி, படுக்கைஅறை, தஜிகிஸ்தானில், புணரஇக்",male_2
OOD_TAM_M_0034,"அா்த்தகிாி, கலிபோா்னியா, கேஏஎம்பி, தொன்னுாற்றி, பரிவுஈர்த்தல்",male_2
OOD_TAM_M_0035,"ஓஇஆர், ஷஹீத், ஊங்கோ, எக்ஸ்சேஞ்‌ச், நாடகத்தைை",male_2
OOD_TAM_M_0036,"ஐஜ்வாலின், பயணிகள்‌லாம்‌, இரத்தனகிாி, இதுவோஇவர், நஹ்யானுடன்",male_2
OOD_TAM_M_0037,"இம்யூனோஅஸ்ஸே, சமைந்தஇம், ஆணழகன், ஈந்திைணப், கல்ஹ​னா",male_2
OOD_TAM_M_0038,"நின்றஎன், கவிழ்ந்தஎன், ​​தயாரிப்பாளர், ஷஹடோலுக்குச், ஹார்டுஒர்க்கு",male_2
OOD_TAM_M_0039,"தனிஒருவருக்குக், மதகுரு இராஜாக்களால், ஒரே இடத்தில், இஃப்பிலாய்ட், க்ராஷஸ்",male_2
OOD_TAM_M_0040,"அனஹதாவின், அஃதான்று, ரீஏஜென்ட்கள், குறி்த்த, யஞனார்தாத்",male_2
OOD_TAM_M_0041,"நின்றஅக், அணுஆயுதச், அமெளண்ட், இ்ந்நிறுவனம், பாரஃபின்உட்பொதிக்கப்பட்ட",male_2
OOD_TAM_M_0042,"குடல்வாலழற்சியால், மனஉறுதியும், சாலைஇணைப்புகளை, தற்கால இலக்கியமும், வாஉசி",male_2
OOD_TAM_M_0043,"ரிவ்யூஸ்‌ஸாக, தாக்கியழிக்கும், ஸ்ரீஹரிக்கோட்டாவில், ​​எங்கு, இல்லைஎன்",male_2
OOD_TAM_M_0044,"ஓஜாவின், நங்கூரத்தில், ஆர்விஒய், கொஷின், மோஉடலை",male_2
OOD_TAM_M_0045,"நீா்குளங்கள், ஜஃப்பார், மணஒலி, நவமேஉயர், எங்‌கே",male_2
OOD_TAM_M_0046,"காஞ்ஞங்காட்டிலிருந்து, குடலழற்சி, ஷட்டில், முஃமினூன், அணித்தேஒரு",male_2
OOD_TAM_M_0047,"ஆயஇப், முஷாரஃபுடன், கைஓங்கியே, ஒளிஉணர், ப்ராடக்ட்‌ஸ்‌",male_2
OOD_TAM_M_0048,"ஐஃபோன், சிஇஆர்டி, அரியஇவ், குடல்வலழற்சியினால், மஃபிசுல்",male_2
OOD_TAM_M_0049,"போா், பெறுவதுஈது, பீஃப்ரீ, எனஓர், சென்றஎன்",male_2
OOD_TAM_M_0050,"செவன்‌த்து, சிஓஏ, ஶ்ரீநகர், ப்ளௌஸும், ஏஐசிடிஇ",male_2
OOD_TAM_M_0051,"கைடியழுத்தான, ரஃபி, தேன்‌கனி, தியஎமது, தனியாக​",male_2
OOD_TAM_M_0052,"காஞ்சூா், இந்த ஆண்டுக்கான, க்ஃனாலெட்ஜ், கெளஹாத்தியைச், சத்தியஞான",male_2
OOD_TAM_M_0053,"வெங்கயைா, ரஃபேல், சௌஹானும், முழங்கியஓர், என்ஈடபுள்யூஎன்ஈ",male_2
OOD_TAM_M_0054,"பாட்னாவையு், ஈஜென்பேக்டர், தேஒளிர்ந்து, தண்டழுகல், சழக்கரே",male_2
OOD_TAM_M_0055,"புஃலர், இவாஹஷி, யுஏவியில், வீ்ட்டு, ஏஇபிஎஸ்",male_2
OOD_TAM_M_0056,"பழயான, பொருத்தைஐம், மயிரைழைகள், மூா்த்தியாக, ஹரிஷௌரி",male_2
OOD_TAM_M_0057,"குறி்ப்பிடப்பட்டுள்ள, குளோாி, ஜொ்வெல், துதிக்‌ஸா, ஃபைவ்‌ஜி",male_2
OOD_TAM_M_0058,"வஃதே, உள்ளன இதன், ஃபுட்‌டு, ஐஓடிசி, வடஇந்தியச்",male_2
OOD_TAM_M_0059,"மறுஇணைப்பு, ஜவ்‌லிங்‌, குலஇறையே, நீஆனாய், இவைஈந்தார்",male_2
OOD_TAM_M_0060,"தேவீரஅள்ளி, நாடகத்‌தை, பொங்கலோ, சூ்ட்டியபொன், மேற்கொள்ளணும்",male_2
OOD_TAM_M_0061,"தாழ்ந்தஉணர்வு, ஃப்ரிட்ஜ்‌ஜிக்கு, தமர்க்குஈந்து, யுஆர்பி, கேபீஎம்ஜியின்",male_2
OOD_TAM_M_0062,"ஃபரெண்ட்‌ஸ்லேந், வாரஇறுதி, மூலஆ, ஈங்குளள், எம்ஓஹெஃப்டபுள்யூ",male_2
OOD_TAM_M_0063,"பஃப்ஸ், அகஉலகைப், சிஓஏஎஸ் யூனிட், காளையின்ஓட்டத்தையும், அமைப்புகள் என்ஜிஓஸ்",male_2
OOD_TAM_M_0064,"என்றேஓ, சுரந்தஅருட், பல உடன், ஏஇஓ, ஶ்ரீவஸ்தவா",male_2
OOD_TAM_M_0065,"எம்எஸ்எம்ஈ, இடஒதுக்கீடுச், நீஆயக், நிகழ்பூா், இவ்வுயிாினங்கள்",male_2
OOD_TAM_M_0066,"கந்தஹாரைக், கையாளணுன்னு, ​​டென், விற்பனைக்கான ஏலம், குருகுஈனும்",male_2
OOD_TAM_M_0067,"கொடுக்குறாங்க, கிருஷ்ணஜெயந்தியன்று, கொண்டஆள், ரிலீஃப்பாக, குறைந்தால்‌",male_2
OOD_TAM_M_0068,"காளஹஸ்தியில், மேஉறச், கௌஷலம், ஜஃபா, மட்டுமேஇருந்திருக்கும்",male_2
OOD_TAM_M_0069,"கற்றைைகள், ஓஇறந்து, பாரம்பாியத்தில், ஹண்ட்ரட்‌டில், செயல்படுத்தப்படஉள்ளது",male_2
OOD_TAM_M_0070,"மஃபத்லால், ஆடஆடப், இருளழியத், புற அமைப்பியல், ஐஃபோனோட",male_2
OOD_TAM_M_0071,"பேமெண்ட்‌டை, பத்திரிகையாஆகும், எனைஒரு, ஊஹும், இஎக்ஸ்",male_2
OOD_TAM_M_0072,"காலகட்டத்தி்ல், சூாியனின், மத்தியஅரசும், சஃபாரிக்கு, ஊாின்",male_2
OOD_TAM_M_0073,"ப்ரோஐஸ்ட்ரோன், ​​போட்டிகளில், ஊா்பெயர், குடலழற்சியை, அர்ஜெண்ட்‌",male_2
OOD_TAM_M_0074,"ஆடஆடச், காணணும், ஓழிப்புக்கான, கேஐஏஎல், வஃபா",male_2
OOD_TAM_M_0075,"ணழிந்த, செய்யஉள்ளோம், கன்ஸஷன்ஸ், வரிஅலுவலரின், தலைமைஆசிரியர்",male_2
OOD_TAM_M_0076,"ஐஹோலில், பாட அளவு, ​​செல்லும், இஎஸ்ஐசி, ஹில்‌ஸ்‌",male_2
OOD_TAM_M_0077,"​​மார்வாரி, வுறஅருளு, தவஏற்றம், இஎம்ஐயில், இஃப்ரா",male_2
OOD_TAM_M_0078,"மனஉறுதியுடன், ஈங்கிவன், தோ்ந்தெடுத்துள்ளனா், ஆயஇதழ், இ்வ்வாறான",male_2
OOD_TAM_M_0079,"ஓவர்சீஸ்‌னு, போாில், ஏஇடபிள்யூ, அன்னாஅபிசேகம், மாயாஆஸ்கி",male_2
OOD_TAM_M_0080,"கனிகாரஅள்ளி, வடஆப்பிரிக்காவின், சேஅதன், சிடிஇஐசி, உய்யஆட்",male_2
OOD_TAM_M_0081,"ஊணுறக், அண்ணளவாக, நல்லஇன், கோஒ, எஸ்கேஏஎஸ்சி",male_2
OOD_TAM_M_0082,"ப்ரொஃபலின், ஓஎஸ்ஓஓஜியைப், அமௌண்ட்‌டு, மிரிண்டா ஆரஞ்சு, இறைஏவுதலால்",male_2
OOD_TAM_M_0083,"உலகஅளவில், ஏபிஈடிஏ, ஐஹோல், மாரஃபத், பஃபே",male_2
OOD_TAM_M_0084,"ஊக்கமும் அளித்து வருவதை அவர் கண்டித்தார், கால அளவீடு, அமொிக்கர்கள், இருக்கஎம், ஏழு ஒய்பிஎல்",male_2
OOD_TAM_M_0085,"ஃப்ளஷர்களைக், ஆணழகி, சப்இன்ஸ்பெக்டா், போஉன்றன், மிதவைஆழம்",male_2
OOD_TAM_M_0086,"தஜானியுடன், சித்துாா், நௌஹர்வானி, அசிட்டோஐதரினின், கேஒய்சியைப்",male_2
OOD_TAM_M_0087,"ஷீஃப், ஷஹ்ரியாருக்கு, உப்புநீா், செஇதான், அஜித்‌து",male_2
OOD_TAM_M_0088,"ஐஷ், வகையின ஆனால், ஶ்ரீவிசங்கர், என்ஐஎஸ்ஈ, ஐஓஎல்",male_2
OOD_TAM_M_0089,"ஊணுன்ணித், ஈஐடி, ஓளரங்கசீப், தரஅங்கீகார, ஆங்கிலோஇந்திய",male_2
OOD_TAM_M_0090,"​​வீனஸ், ஐஐஎஸ்இஆர், உரைத்தஎன், கந்தஹாரை, ஐஒள",male_2
OOD_TAM_M_0091,"ஆஞ்சனியர்‌, சுண்ணஞ், ரமஃபோசாவுக்கு, மறுஆலோசனை, மனித உரிமைகளுக்கு",male_2
OOD_TAM_M_0092,"எஷன், நல்லஎன், கல்வித்‌துறை, பீஹாரில், அஃலா",male_2
OOD_TAM_M_0093,"ஆா்க்கிமீடியனுக்கு, ஐஇஏ, களஆய்வுகள், அவங்கஅவங்களுக்கு, ஒளிச்சோ்க்கை",male_2
OOD_TAM_M_0094,"சூரியஒளியை, வரையறுக்கின்றனஇதில், ஜேஓ, ஐஒய்சிஎஃப், அா்னால்டு",male_2
OOD_TAM_M_0095,"டபல்யூகேஎப், கிரந்தஎழுத்தில், பொம்மஅள்ளி, ரீஏஜெண்ட்களும், ஐஞ்சி",male_2
OOD_TAM_M_0096,"சிஎம்இஆர்ஐ, ஒளிமின்னழுத்தத்தில், பணைஐந்து, இடஒதுக்கீட்டின், அறி்வித்துள்ளது",male_2
OOD_TAM_M_0097,"ஊலைட்ஸ், யோஜனாஆகியவற்றுடன், இ்நதியாவில், றஃது, பிஎம்ஜிகேஏஒய்",male_2
OOD_TAM_M_0098,"ஷஹ்டோலில், ஈண்டெமக்குப், உள்ளனஆரம்ப, மணஞ்செய்ய, கோஎஃபிஷியேன்ட்",male_2
OOD_TAM_M_0099,"நங்கை, ஐொ்மனுக்கு, என்சிஏஏ, வரலாற்று இலக்கியங்களில், வணிக உலகமும்",male_2
OOD_TAM_M_0100,"ஷட்தும், தல்லஇவர், நஹர்லகுனில், ஐஜிஎஸ்டியிலிருந்து, ஆணழகிடம்",male_2
OOD_TAM_M_0101,"பெறஉரை, சின்‌ன, மன்றஎன், சேஃபாகவும், சிஃஎப்ஆர்ஐ",male_3
OOD_TAM_M_0102,"பண்ணாரிஅம்மன், செய்ததா இல்லையா, எல்லைகளாக​, கொஷினுக்குலாம், களிக்கஒரு",male_3
OOD_TAM_M_0103,"பண்ணணும்னா, விஞ்ஞானம்‌னு, விசும்பஉற, குறித்த உலகளாவிய, மறந்தஎம்",male_3
OOD_TAM_M_0104,"கேபீஎன், மட்டும்‌தான்‌, பிறஇய, திருத்தப்பட்ட ஏற்றுமதி, ஸ்டீஃபன்",male_3
OOD_TAM_M_0105,"காணஎவ், நன்றிஉணர்வு, பிரம்மஉற்சவம், ஓஎன்ஜிசி, சுத்தஇறை",male_3
OOD_TAM_M_0106,"ஜிஈஆர், மைசூாில், நின்றஇக், புரந்தரஆதி, ஒந்தழை",male_3
OOD_TAM_M_0107,"நௌித்திழிய, அனைத்தையும்‌, கொண்ட உலகளாவிய, சிஇஐஐசி, காஸ்ட்ரோஎன்டாலஜி",male_3
OOD_TAM_M_0108,"தோ்தல்களில், கரைஏறிப், ஷஃபிலில், காப்பீ்ட்டு, ஐஓஎஸ்லயே",male_3
OOD_TAM_M_0109,"பிஞ்ஞசுனைப், நோர்த்ஈஸ்ட், சக்திஅளவில், நாளாகஆக, மெத்தஎழில்",male_3
OOD_TAM_M_0110,"உப்புநீா்குளத்தின், தேஓர், ஐஎன்ஏ, எஷ்வந்த், ஆஷஸ்",male_3
OOD_TAM_M_0111,"துமைஏலம், ஸ்ரீஹரிக்கோட்டாவிலிருந்து, டாப்‌பு, ஃபோன்‌தாங்க, ஐஎஸ்ஆர்",male_3
OOD_TAM_M_0112,"ஆஃப்‌னவருக்குள்ளே, அணைஇந்த, தப்பிய ஆயுசிறீதரா, ஏஆர்ஐ, கேர்‌ப்பா",male_3
OOD_TAM_M_0113,"பெற்ற என், மோனோஐதரேட், அதிகஅளவு, ஜேஐஏஎல், மின்னழுத்தப்",male_3
OOD_TAM_M_0114,"சஃபார், பூஅளிப், நீங்கஓம்படை, ஆமாங்‌க, பிஞ்ஞகரே",male_3
OOD_TAM_M_0115,"அாிக்கப்படாமல், வெற்றியைஒப்புக், எனஆளும், தேசியஒருங்கிணைப்பு, ஔல்",male_3
OOD_TAM_M_0116,"தந்தை​, அஃபெக்ட்டாகி, நெய்மேஎல், வெள்வளைசோரஎன், ஃப்ரிட்ஜ்‌ஜு",male_3
OOD_TAM_M_0117,"ஷொமிதி, கேஐஎம்எ, கம்ப்ளண்ட்டை, எக்ஸ்ட்ராஆர்டனரி, குழந்தைகஞக்கு",male_3
OOD_TAM_M_0118,"பனிஊர், டெ்ரெஸ், ஈமச்சடங்குகள், கிருஷ்ணஜெயந்தி, ஷஹாரன்புர்",male_3
OOD_TAM_M_0119,"பிரணஷ்யதி, நல்லஇறை, எழுந்தஇத், நீா்மூழ்கிக், யேஉயர்",male_3
OOD_TAM_M_0120,"ஓளரங்கசீப்பின், ​​பகலில், தொலைவுக்கு ஓடி, கொடுக்கவும், களஅலுவலகங்களுக்கு",male_3
OOD_TAM_M_0121,"நஹ்யான், ஆசிாியா்கள், தெரியறதுஇல்ல, இளமை ஏன், ஓஞ்சப்பரம்",male_3
OOD_TAM_M_0122,"ரீஏஜெண்ட், புலந்த்ஷஹார், பீஅர்ன், பஙக்ளிப்பை, புணஎந்து",male_3
OOD_TAM_M_0123,"வஃறிணைப், ஈஸ்ட்ரோஐன், வருகஎன்று, பரமஉண்மையையோ, அமெளண்ட்லாம்",male_3
OOD_TAM_M_0124,"ஃஎப், பஃபல்லோ, பொிதும், அசாதாரணமான​, சாலைஐயர்",male_3
OOD_TAM_M_0125,"கோாினாா், வேண்டியஅவசியமில்லை, கொண்டு, நஹேதாவை, பண்ணணோம்",male_3
OOD_TAM_M_0126,"துரஅதிர்ஷ்டமாக, ஊங்கில்லை, ஹஷனாவையொட்டி, நீஎனக், என்ஃஎஃப்",male_3
OOD_TAM_M_0127,"பாஎண், பரூஅச்சுடர், பொஊ, சங்கஇலக்கியத்தில், தரஎன்றே",male_3
OOD_TAM_M_0128,"ஸ்ரீஅன்னாவின், ஓஈஆர், நங்கர்ஹாரில், அதீராஎன, பழிஊன்",male_3
OOD_TAM_M_0129,"ஐஓஸ்ஸில், முழஅனைத்து, ஷட்டவுன், சிஓஏஎஸ், ரமஃபோசாவின்",male_3
OOD_TAM_M_0130,"பிஎஸ்‌சி, வஃறிணைக், இந்தியாஒரு, எண்ணஙள், தூயஒளி",male_3
OOD_TAM_M_0131,"இருக்குஇல்ல, ஓழுங்குமுறை, பசந்தஎன், ஊசியின்தலை, ஊசுட்டேரி",male_3
OOD_TAM_M_0132,"கோஃல்ப், தழீஇய, புளியஞ்சேரி, ஹைட்ரோஎலக்ட்ரிக், பரந்த இப்",male_3
OOD_TAM_M_0133,"ஐஓஸ்க்கெலாம், அதுஉள்ளார, ளஃகான், எம்ஏஹெச்சு, இஇஎஸ்எல்",male_3
OOD_TAM_M_0134,"இ்ன்னமும், முஃமின்களையும், ஈன்றஅத், சென்றஅக், ஐஎஸ்டிஏஎஃப்",male_3
OOD_TAM_M_0135,"ஜஃபர், எம்‌ஏ, ஆகவேஅவர், தீபஉச்சி, வந்துள்ளதுஇஃது",male_3
OOD_TAM_M_0136,"அஇஅதிமுக சார்பில், பக்தஆஞ்சநேயர், பரமஏழைகளின், ஈமச்சடங்கிற்குத், யஃறிணைப்",male_3
OOD_TAM_M_0137,"ஈமக்கிரியைகள், நௌஷதிற்காக, ஓஎஸ்லாம், நீளஅகலம், அணைத்தாரஉண்டு",male_3
OOD_TAM_M_0138,"தௌஹித்ரன், பஞ்ச உலோக, தொண்ணுாத்திரெண்டு, ஐஐஎஃப்ஏ, நஹீன்",male_3
OOD_TAM_M_0139,"நல்லஉடலோ, சரோண்டிங்‌குள்ளே, எஸ்இஎஸ்ஐசி, கேஐசியை, நிலஅறிவியல்",male_3
OOD_TAM_M_0140,"வம்சாவளிையச், ஜில்னஸ்‌ஸாக, தர அங்கீகாரம், அரசு, சரஃப்",male_3
OOD_TAM_M_0141,"டீஎன்ஏக்கள், குறிப்பிட்ட அவர், தஜிகிஸ்தானுக்கும், அஃபெக்ட், ஜிம்னோஸ்பொ்ம்",male_3
OOD_TAM_M_0142,"திருநங்கைகளின், ஜீஹெச்சில், ளஃதவள், டபிள்யூஏஏஎஸ், இதழயில்",male_3
OOD_TAM_M_0143,"படைஒரு, எஸ்ஓஏ, மின்னழுத்தத்தில், ஈஇஇ, பெறஎழுதி",male_3
OOD_TAM_M_0144,"ஏஷம், ஐஎஸ்பிடி, கிடைத்த​, வந்தஆள், எம்ஐஜி",male_3
OOD_TAM_M_0145,"பழையஇறை, கியுஆர், அதோக்ஷஜரை, விளக்கஉரைகள், கஷ்டப்படுறாங்க அவங்க",male_3
OOD_TAM_M_0146,"​​மருந்துகளுடன், மன்றஇம், மண அணிப், பணிஓய்வு, அதிஅற்புதமான",male_3
OOD_TAM_M_0147,"ஏஷியால, அறஉரை, மாய்கஎன், பத்தி்ரிகை, சட்ட அமலாக்க",male_3
OOD_TAM_M_0148,"கஃசா, அஃப்பன்ஸ், பண்ணணுங்கறது, தொலைஉணர், வீஉகத்",male_3
OOD_TAM_M_0149,"யுஐஎன், அஃறிணையாஞ், ​​பார்வையாளர்கள், காப்பீ்ட்டுத்திட்டம், போஒய்ப்",male_3
OOD_TAM_M_0150,"அனஹதாவின், அஃதான்று, ரீஏஜென்ட்கள், குறி்த்த, யஞனார்தாத்",male_3
OOD_TAM_M_0151,"ஏஓபி, ஃபிரடொிக், ஒநாய், ஓஇவ்ரியன், நீர்வீழ்ச்சி அந்த",male_3
OOD_TAM_M_0152,"நஹபான, காந்தஹார், கிளௌசிகோமன்சு, நுண்ணளவிகள், சிறகுகளே உயர்ந்த",male_3
OOD_TAM_M_0153,"தூயஎரிசக்திக்கு, ஒரு உற்பத்தி, ஈங்கென், என்ஐஓஎஸ், பஞ்சஇந்",male_3
OOD_TAM_M_0154,"பெருமஇத், ​​அது, காலஅளவில், தாணஇப், ஜேஇஇ தேர்வு",male_3
OOD_TAM_M_0155,"ஈஆர்பி, ஆசிாியா், தியோஅமைடுகளைப், வீரஉணர்வு, வளா்ந்தோியது",male_3
OOD_TAM_M_0156,"உஞ்சைக், கூடஏறத்தாழ, ரீஆர்கனைசேஷன், தொழி்ல்நுட்பம், தஜானிக்கு",male_3
OOD_TAM_M_0157,"தமிழ்‌தான்‌, அளிக்கஉள்ளது, மனிதஉரிமைகளை, ஏஒய், கீஇராயவரம்",male_3
OOD_TAM_M_0158,"கால இடைவெளியில், பணஜியில், புனஷ், அமெரி்க்கா, பண்ணணும்னு",male_3
OOD_TAM_M_0159,"சோ்ந்து, நிஃமத்களை, அனஹதாவினால், ஊஹூம், சிஓஆர்எஸ்ஸின்",male_3
OOD_TAM_M_0160,"நௌஷிர்வான், தரஅளவை, ஏஆர்வி, எம்ஓஐஎல், ஆசிாியா்களும்",male_3
OOD_TAM_M_0161,"என்ஜிஓ, தெய்யஎம், தொண்ணூத்துஏழு, ஐஏஃப், ஐடிகேஐ",male_3
OOD_TAM_M_0162,"திட்டங்களை அறிமுகப்படுத்த, வகைகள்‌லாம்‌, தழீஇப், பரிமேலழகன், ட்ரைஆக்ஸைடு",male_3
OOD_TAM_M_0163,"ஈண்டிய, ​​​​அந்த, ஐஃப்ளோஸ், ஏஷியாநெட், ஷஹீத்தீப்",male_3
OOD_TAM_M_0164,"காலஅவகாசத்திற்குள், ஏற்ற இறக்கம், எனவே அடுத்த, ஏஒய்சிஎல், ஐஜிஎஸ்டி",male_3
OOD_TAM_M_0165,"ஃபாஅர், ஶ்ரீராமருடன், நடப்பட்டுள்ளன இது, தஞ்சாவூர்‌லங்க, லக்னௌ",male_3
OOD_TAM_M_0166,"நிதிஉதவியும், நகர்‌புறத்தில், ‌சிற்பமாக, ​​முதன்மையான, கௌஹாத்தி",male_3
OOD_TAM_M_0167,"பஃறோ, டிஃபென்ஸாக அவங்களாவே, ஊசி, பஃபர், கூடஅது",male_3
OOD_TAM_M_0168,"நஷ்டஈட்டுத், ஏஐலாம், நௌஃபார், பேழைஏன், அன்றஃ",male_3
OOD_TAM_M_0169,"ஆதியேஒரு, சஃபாவித், நடவடிக்கைஎடுக்கப்படுகிறது, குறைந்தப்பட்சஊதியம், சமஉயரக்கோட்டு",male_3
OOD_TAM_M_0170,"நிலாஒளியால், மீ்ட்டெடுக்கக், மணிப்புாி, நுண்ணளவுகளைப், சினஉணர்வு",male_3
OOD_TAM_M_0171,"மத்தியஅரசு, பெற்றனஆம், வெற்றியாஅளர், பயோஅவைலபிலிட்டி, ரஜௌரியின்",male_3
OOD_TAM_M_0172,"ஹஷானா, கின்னௌரின், கொள்ள எனைத், மாநிலத்‌திற்கு, சாஉறிதி",male_3
OOD_TAM_M_0173,"கொண்டஎன், முந்தஒரு, உள்ளஎழில், பிறந்தஇள, ஆச்சார்யஶ்ரீ",male_3
OOD_TAM_M_0174,"ஃப்ரெண்ட்‌ஸ்ஸு, நஹாதே, ஏஇஎப்ஐ, பொலிந்தஎன், ​​பள்ளத்தாக்கிலிருந்து",male_3
OOD_TAM_M_0175,"உலகப்போா், நாளொன்றுக்குஐந்துலட்சத்துக்கும், என்சிபிஓஆர், தௌித்துத், ஐஎன்எஸ்ஏசிஓஜி",male_3
OOD_TAM_M_0176,"பிறஇல்லை, நபர்களைஉருவாக்குகிறது, வோஉரை, ஏரோஇந்தியா, வௌியில்",male_3
OOD_TAM_M_0177,"ரீஃபண்டும், ஊசியிலைக், ஈங்கெனக், ஒய்என்ஓட்டி, மாகாவஃறிணைக்",male_3
OOD_TAM_M_0178,"வாழ்க என்று, கலைஒண், கின்றஇப், ஒரேஒரு, எண்ணிக்கைஇணைப்பு",male_3
OOD_TAM_M_0179,"பஃபி, செங்கணழகனாகம், கரிமஉலோக, தழீஇயது, பெரியஆண்டிபாளையம்",male_3
OOD_TAM_M_0180,"ஃபேஸ்‌புக், ப்ளௌஸ்களுடன், மத்ஸயா, கவிதைஊற்றிக், கொஷ்ஷீன்",male_3
OOD_TAM_M_0181,"வரஒழிதல், ஊசியிலைக்காடுகளிலிருந்து, இரத்தஅழுத்தமானி, கெளஷலம், தஜானியை",male_3
OOD_TAM_M_0182,"கொஷினுக்கே, புகுந்த​, திரைஉலகின், ஈங்குப், முஃமினான",male_3
