ID,Sentence
OOD_TAM_F_0016,"கேஎஸ், துணைஇயக்கங்களாக, எஷா, திருநங்கைகளுக்கான, எஃப்ஏடிஇஏ"
OOD_TAM_F_0017,"புறஊதாக்கதிர்கள், ஓஎச், சிஎன்ஈஏ, உனைஓதநீ, நஷ்டஈடுக்கான"
OOD_TAM_F_0018,"ஜேஏஎம், மாஊர்ந்து, உள்ளனஇவைகளின், யுஐபி, ஞயம்பட"
OOD_TAM_F_0019,"வீீர, யுஏஇ, மிக்குஓங்கு, என்டிஇஏ, ரஃபினா"
OOD_TAM_F_0020,"என்எஸ்ஓ, யுஏஈ, பீஹாரிலிருந்தும், உாிமையாளா், அமொிக்காவால்"
OOD_TAM_F_0021,"காலஅட்டவணைப்படி, வளஆதாரங்கள், ஏஏஐ, என்ஆர்ஓஇஆர், ஊங்கே"
OOD_TAM_F_0022," கன்னாஎன்ற, அங்ஙணவ, ஒளிச்சோ்க்கைக்கு"
OOD_TAM_F_0023,"திருப்போரூா், தேவைஇலவசம், குமாஉன், மிகுந்த​, டிஒய்"
OOD_TAM_F_0024,"சாித்திரம், மைஊன், எழுநுாற்றி, கவுர்மெண்ட்‌லேயே, சிஎம்ஈஆர்ஐ"
OOD_TAM_F_0025,"அரியவகைஉயிரினங்கள், ஏதுவாகஆயுஷ், ஹஷ்முக், டிஏஒய், ஈங்கிம்"
OOD_TAM_F_0026,"இடத்தோடஉங்களுக்கு, உருவாக்கப்படஉள்ளது, டீத்‌லருந்து, ஐஜிஓடி, மத்தியஅரசின்"
OOD_TAM_F_0027,"போற்றிஊண், கேட்டுக்கொள்ளப்படுகின்றனா், சஷஸ்த்ரா, இஃசிறியன, முஇஸ்"
OOD_TAM_F_0028,"அஇரு, இடங்கள்‌லாம்‌, போலஎன், மௌிதோ, குளோாினை"
OOD_TAM_F_0029,"ஊல், மெண்ணஇவ், என்னஆட்டம், ஆட்சிஅதிகாரத்தில், ​​மோசடியின்"
OOD_TAM_F_0030,"இஇபிசி, உண்மைஅல்ல, சமூகஅறிதிறன், ஈண்டரில், மாற்றிஅமைத்தும்"
OOD_TAM_F_0031,"கௌஷம்பி, ஞகரமெய், யகன்றோய்நீஆசை, ஊங்கண்"
OOD_TAM_F_0032,"​​அவற்றை, இடஒதுக்கீடுகளை, ஔிச்சேர்க்கையின், நிலஅளவை, வஉசிதம்பரனாரின்"
OOD_TAM_F_0033,"கௌஷாம்பியிலும், இஐஎல், கையெழுத்தானஒப்பந்தத்திற்கு, உடைதலைஊண், உடையஒரு"
OOD_TAM_F_0034,"மேஉயர், கிடூஉஞ், ​​பால, என்இஇடிஎஸ், ஷேப்‌பில்"
OOD_TAM_F_0035,"மகாஉற்சவத்தில், சிறக்கஒரு, சரிவிகிதஉணவு, கொளஎளிது, பென்டாஎரித்ரிட்டோல்"
OOD_TAM_F_0036,"சட்டஇயல், அயனோஇவர், கிமீஆகும், ​​புதிய, முஃமின்களை"
OOD_TAM_F_0037,"உளஅல்ல, குறிப்பைஆங்கிலத்தில், வாய்ந்தஒட்ட, இடஒப்புதல்"
OOD_TAM_F_0038,"தொியாதுமேலும், சகஉறுப்பினரான, ரஜௌரி, சிறந்தஇணைப்புகளை, ஆக்‌ஷன்ரொமான்ஸ்"
OOD_TAM_F_0039,"கோாிக்கை, எம்இஏ, ஓசஅள்ளி, ஃப்ரெண்ட்‌ஸ்‌, டிஓஐஏ"
OOD_TAM_F_0040,"ஊவோ, போ், கோக்கிங்நிலக்கரியைஇணைப்பதன், களஅளவை, பொிகா"
OOD_TAM_F_0041,"உள்ளனஇப்போது, உயிாியல், தரஅங்கீகாரத்திற்காக, ஏஏஎச்டி, தமிழ்‌நாட்டில்"
OOD_TAM_F_0042,"​​மற்ற, இஏஇஎஸ், காக்கஒரு, ஒன்றுஒன்பது, பாெழியும்"
OOD_TAM_F_0043,"இஐசியுடன், ஜேஏகே, ரஃபா, நம்மஊரு, தேவைியில்லை"
OOD_TAM_F_0044,"மாஆஆ, விளங்கவில்லைஇவ்வாறு, தாஊ, ட்டேஃபி, காியன்"
OOD_TAM_F_0045,"பார்த்துக்காெண்டிருக்கிறாள், மேஇல், தெய்வஉலா, செயஒருவன், ஆடஆட"
OOD_TAM_F_0046,"வஉசி, நிங்தௌஜா, ஆரஞ்‌ச், ஃஎப்ஏஒ, ஆனைஒன்"
OOD_TAM_F_0047,"நமோநமஓம், காந்திஅடிகள், ​​பல, ரூக்கஆக்கம், குணஞ்சால்"
OOD_TAM_F_0048,"அமொிக்க, கேஎஸ்ஐடிசி, ​​அவரது, பல​, சரிஅக்கா"
OOD_TAM_F_0049,"ராமஅவதார், சட்டஅமைப்பு, யஃதில்லா, ஐஐஐடிஈஎம், ஈடுபடஅதிக"
OOD_TAM_F_0050,"கூட்டுஉடைமை, எப்ஏஓ, தினசாி, ஈண்டுக், அக்காஉரா"
OOD_TAM_F_0051,"உள்ளதுஇதை, ஏஃபெயில், ஆசிாியர், மாநிலஅரசின், சட்டஉதவி"
OOD_TAM_F_0052," தௌிச்சு, ஜேஐசிஏ, யோகாஏரோபிக்ஸ், ஐஎஸ்ஐஎல்"
OOD_TAM_F_0053,"பூஅரில், ஓஆர்எஸ், வருகி்றோம், ஒநீர்"
OOD_TAM_F_0054,"என்ஐஎஃப்டி, தனிஒருவராக, அமிா்தா, மனவேதாஎன்பவர்"
OOD_TAM_F_0055,"காந்தஹாருக்கு, துணைஆளுநர், மாயஎம், பாணஎம்"
OOD_TAM_F_0056,"ஈங்கிவர்க், ஊணமுற்ற, ஏஓஏ, கையழுத்தாகியுள்ளது, ஜெஐசிஏ"
OOD_TAM_F_0057,"தரஅளவுகள், நுரைஈரலும், அரன்தன்னைஈரம், பீஹாரிலுள்ள, ஆச்சார்யராகஇருக்கிறார்"
OOD_TAM_F_0058,"ரெனத்தௌிய, ஓஎஸ், பாட்டோட, ஆஏஓ, ஐடிஇஎஸ்"
OOD_TAM_F_0059,"வௌியாகும், ஆகவேஇவ்வாறாக, ​​மும்பை, ​​வரிகள், பிஷஜே"
OOD_TAM_F_0060,"ஸ்ரீஹரிகோட்டாவிற்கு, நீா்மூழ்கி, மறுஆய்வு, மணஅழல்"
OOD_TAM_F_0061,"இடஒதுக்கீட்டு, நல்லஈசர், காடழிப்புக்கு, மடக்கண்ணீீர்"
OOD_TAM_F_0062,"ஆடர்‌, ஏஏயூ, ஏஹெச், கல்யாணஒடை, ஆணழகே"
OOD_TAM_F_0063,"மதியழகன், ​​மேற்கு, ஒளிச்சோ்க்கையில், தண்ணீ்ர், நஷ்டஈட்டை"
OOD_TAM_F_0064,"ஆஞ்சநேயர்‌, முஃமின்களான, கேஏபி, ஸ்ரீகிருஷ்ணஜெயந்தி, க்யூஆர்"
OOD_TAM_F_0065,"தொடுத்தஎன், சொல்லானதுஒரு, ஈஏபி, கிருஸ்ணஹ், வடமலைஈஸ்வரர்"
OOD_TAM_F_0066,"அபிக்ஞேஷூ, வென்றுஓடி, கொடுத்துருக்காங்க, ஆர்டிஓ, திட்டஅமலாக்கம்"
OOD_TAM_F_0067,"பிஆர்எஎன், அம்மாஎழுதிய, தொிந்தெடுக்கப்பட்ட, எனஆற்றின், ஐஏஆர்சிஎஸ்சி"
OOD_TAM_F_0068,"ஐஜிபி, வைமுதல்உயிரியாகஅறிமுகப்படுத்தி, ஐஎஸ்இஏ, கொழுந்துஓடி, விழயான்"
OOD_TAM_F_0069,"அஃபிஃப், ஹஷ்டாக்குடன், சிபிஎன்ஏஏடி, ஸ்ருதௌஜஸ், வடஇந்தியாவை"
OOD_TAM_F_0070,"சிஎஸ்ஐஆரின், புரிந்துணர்வுஒப்பந்த, ஹோஇலோ, யஃகும், கவுர்மெண்ட்‌டில்"
OOD_TAM_F_0071,"ஊண்ணுகின்றன, தஷஷ்வமேத், சூறையடிக்கப்பட்ட​, அஃது, யுஏ"
OOD_TAM_F_0072,"அகரஓகை, நுகா்வோா், ஊவா, முஷாரஃப்புடனான, சிவஅமு"
OOD_TAM_F_0073,"இஐஆர், ​​மாடலானார், போல​, ஐஃப்எஸ்சியில், ஐபிஓஐ"
OOD_TAM_F_0074,"சமஅளவு, என்ஜிஓக்கள், விஞேஹ, பிஞ்ஞகனே, மறுஒளிபரப்பு"
OOD_TAM_F_0075,"சுழயன, உறுப்பினராகஇந்திய, நிலஉள்ளடக்கு, நீாினை, சிஎஸ்ஐஆர்"
OOD_TAM_F_0076,"என்சிபிஓஆரின், ஸ்ரீஆனந்த், பெண்ணழகே, ஆண்பிள்ளைையொன்றை, ஐநுாறு"
OOD_TAM_F_0077,"ரிஓபன், ப்ரொஃபஷ்னலுக்காக, ஆ‌‌, சிசிஇஏ, ஃவுளூரைனேட்டட்"
OOD_TAM_F_0078,"சமஉரிமைகள், ஈமெயிலை, ஈஐஎல், இல்லைஇல்லை, ஆவாா்இந்திய"
OOD_TAM_F_0079,"​​விஷ்ணுவிடம், ஶ்ரீ, கவலைஏன், அதிகஅளவாக, காலஅவகாசம்"
OOD_TAM_F_0080,"யாசைழியே, வடஎல்லை, இலவசஎரிவாயு, மீஉயர்ந்தவர்"
OOD_TAM_F_0081,"இஸ்லாமிய​, மறுஒதுக்கீடு, உப்புநீா்குளத்தில், இறையேஉயர், வரதஆஞ்சநேயர்"
OOD_TAM_F_0082,"உன்னைஒன்று, இணைஉற்பத்தி, சழக்கி, கிளைஓம்பின், கூா்ந்து"
OOD_TAM_F_0083,"கீ்ழ், காட்டியஅவர், அமொிக்காவில், வீஎம், ​​மணிப்பூர்"
OOD_TAM_F_0084,"யுஎஎன், எல்லாேருக்கும், அசையஇசை, மெலிந்தஉடல், பருகூா்"
OOD_TAM_F_0085,"கடமைஉணர்வுடன், ஊண்ட்வால், கவெஎண், சௌந்தர்‌ராஜன்‌, பீஹார்"
OOD_TAM_F_0086,"தனிஒருவர், ஈன்றஎன், ஸேஃபாக, போர்த்திறஞ்சார்ந்தஆய்வுகள், சூரியஒளி"
OOD_TAM_F_0087,"மிகஉயரிய, ஏஆர், கௌஹாடீயிலிருந்து, படித்தாா், பிணஅணி"
OOD_TAM_F_0088,"முந்தையஅரசாங்கங்கள், ​​ரஷ்ய, டிஈபிடபிள்யூடி, உகாண்டாதுணைஅதிபர்திரு, ஐஎச்"
OOD_TAM_F_0089,"அா்த்தம், சொல், தாழஅல், அமைதியாகஇருக்கும்"
OOD_TAM_F_0090,"ஓஇஎம், பெரமஅய்யனார், ஒளிமின்னழுத்தத்தை, கீஇ, கொடுத்தாங்க"
OOD_TAM_F_0091,"பெற்றஒரு, மூலஉரை, நுண்ணளவு, நுண்ணுயிர்க்கொல்லிகள்"
OOD_TAM_F_0092,"சமஉயக்கோடுகளின், எனப்பட்டனஆனால், ​​​​கண்களின், ஜஃப்ராபாதி, ஐசிஏஓ"
OOD_TAM_F_0093,"சுகாதாரஉரிமை, என்ஐஆர்ஃஎப், ​​காரில், பாக்டீாியாக்கள், ஐசோஅலின்"
OOD_TAM_F_0094,"ஆப்பிரிக்காஉச்சிமாநாட்டில், செவிஉள்வைப்பு, ஐடபிள்யூஏஐ, மதஉரிமைகளை, இளஅரசன்"
OOD_TAM_F_0095,"ஸஷ்வச்சாந்திம், கரிஉமிழ்வு, சேவைஅமைப்பு, நின்றஇவள், மலர்ச்சியைஊக்குவித்ததற்காகவும்"
OOD_TAM_F_0096,"ஐஇஇஇ, இஓஐ, கருஉருவாதல், கனசதுரஉள்ளது"
OOD_TAM_F_0097,"இவாின், பாஇ, யோஉருப், கூடலுார், குளஅங்"
OOD_TAM_F_0098,"யுஏஎம்ஏஎன்ஜி, மலைஉச்சி, ஆப்பிாிக்க, எல்‌ஜி, ஐஆர்"
OOD_TAM_F_0099,"இதுஇருக்கு, செலவழிக்கஉள்ளோம், ஓடபிள்யூஓஎல், உள்ளனஆசிரியரின், அதுஓர்"
OOD_TAM_F_0100,"தள்ளஅவள், ஆவாா்இவர், ஐஇஐ, உயாிய, சேஃப்டியாருக்கணும்"
OOD_TAM_F_0101,"ஞேயத்தே, இஅள்முலை, கரஎன, ஜிஓசிஇன்சி"
OOD_TAM_F_0102,"மதுரஇ, ஸ்ரீஹரிக்கோட்டா, வருமானத்தைஅதிகரிக்கவும், மற்றும்‌, ஈங்கென"
OOD_TAM_F_0103,"சிஇஐஆர், பண்ணணும், ஒளிமின்னழுத்திய, ஶ்ரீவத்சவ், நிா்வகிக்கப்படுகிறது"
OOD_TAM_F_0104,"கேஐ, தாணஇயர், பண்ணணுமோ, சிஇஓவா, ஃபில்மீஈவென்ட்ஸ்காம்"
OOD_TAM_F_0105,"சமூகஊடகங்கள், சிஎஸ்ஓ, நங்கூரமாக, குலஇயல்பு, அஃதே"
OOD_TAM_F_0106,"தஜ்ஜியோ, கூட்டஅரங்கமாகவும், பழயன, ஸ்ரீஅரவிந்தரின், ஆஞ்சிநேயர்"
OOD_TAM_F_0107,"விஜ்ஞேய, திருநங்கைகளுக்கு, தனிமைப்படுத்தப்படுகின்றனஇச்செயல்முறையை, ஆர்டர்‌, தனிஒருவரின்"
OOD_TAM_F_0108,"ஐஓசி, மென்மைான, தாெடா்ச்சி, குழந்தைகள்‌லாம், மேஉங்கள்"
OOD_TAM_F_0109,"பொஆமு, ஓஐஎம்எல், என்பஅவர், எனஒரு, பிழைஒதுக்கும்"
OOD_TAM_F_0110,"ஈகேஏ, நாடுகளுக்குஇடையே, ஷட்டில்கள், ஓளிரும்"
OOD_TAM_F_0111,"இணைஆணையர், சிறப்பம்சமாகஇதயவியல், அஸம்மூடஹவாக, டிஎஆர்இ, தீர்த்தேஉயிர்"
OOD_TAM_F_0112,"மனிதஉயிர்களை, ஐஎஸ்எஸ், ஓளிர, சான்றஅவர், ஊங்கி"
OOD_TAM_F_0113,"ளெியிடப்பட்ட, செய்தஆர்வத்திற்காக, காடழித்து, இயற்கைஎரிவாயு, வீரஆஞ்சநேயர்"
OOD_TAM_F_0114,"மழைஏறு, மகஇர், நிலைஒளி, இடஒதுக்கீட்டில், டிஷ்ஷஸா"
OOD_TAM_F_0115,"அஃபேக்ட், கேஎஸ்ஆர்டிசி, நஹி, ஊங்கினும்,நுண்ணளவுகளில்"
OOD_TAM_F_0116,"சிலைஓசை, கண்கொடுத்தஅம்மன், ஜேஐசிஏவுடன், ஸ்கைப்‌பு, நிகரஅளவு"
OOD_TAM_F_0117," புறஊதா, ஆக்ஸ்போா்டு, நீஉரிஞ்சி, அல்லஎன்று, இந்தியாஇயக்கத்தின்"
OOD_TAM_F_0118,"ஒருவா், விவரி்த்தார், ஸ்டார்‌, கிளௌட்ஸ், படைஏர்"
OOD_TAM_F_0119,"வெற்றியாக​, எலஎன், ஐநாஉடன்படிக்கை, எண்ணியேஓம், நீஆனால்"
OOD_TAM_F_0120,"ஏஏஆர், எண்பத்துஇரண்டு, ஔடத, எனஒ, ஒஎன்ஜிசி"
OOD_TAM_F_0121,"ஊணும், ஜமாஅத்தே, தொலைஉத்தரவு, கொடுத்து, இஒமுலீ"
OOD_TAM_F_0122,"யஷாடிலகா, தோலழற்சி, இஃப்தாவில், மிகஉற்சாகத்துடன், ஐஒஎஸ்"
OOD_TAM_F_0123,"பாெடியை, லஃகப், சேரும்‌போது, ஆஈஊ, வௌிப்பட்டு"
OOD_TAM_F_0124,"ஓஇசிடி, ஜமாஅத், சேய்ஞலூர், சோமநாதஈஸ்வரர், நௌஜவான்"
OOD_TAM_F_0125,"மிக்கஈ, முழுஒத்துழைப்பு, நலஅரசினை, பலஆண்டுகளாக, முழுஉரிமை"
OOD_TAM_F_0126,"யஷ்வர்த்தன், இஎம்ஐ, தெரியும்ங்‌க, சேர்ந்த​, தீர்த்தஅள்ளி"
OOD_TAM_F_0127,"இருந்தஓர், ஐஆர்எஸ், ​​ஈஎஸ்ஐ, சூாியகதிர்கள், ஊஹீம்"
OOD_TAM_F_0128,"ஹஷனாவையொட்டிஉலகம், அம்மஅது, சமஉயரக்கோடுகளுக்கிடையே,  போ, பிரதமா்"
OOD_TAM_F_0129,"கோஇன்சேட், ​​பொருளின், நாங்‌கள், வரஇனும், என்இஆர்"
OOD_TAM_F_0130,"ஊசிவால், ஞயவின்கண், எக்ஸ்சேஞ்‌சோட, கோஎஃப்பிஷியண்ட், ​​ரசியா"
OOD_TAM_F_0131,"ஆஞ், அகண்டஅலைவரிசை, பிஜேஒய்எம், ஏஸி, ‌நான்"
OOD_TAM_F_0132,"என்றஇயல், வடஇந்தியாவானது, ஞூற்றுவர், மனிதஉரிமை, எழுதலஎன்னினும்"
OOD_TAM_F_0133,"சேலம்‌லாம், எம்ஓஐஎல், சுவடழிந்து, வாஎன்று, ஐஒய்பி"
OOD_TAM_F_0134,"​​மருந்துகளுடன், ஏஷா, வளஆதாரமிக்க, காா், எனைஏய்க்க"
OOD_TAM_F_0135,"பொியநாயகி, எல்ஈடி, தொடுஉணர்வு, ஆஞ்சியோஸ்பொ்ம், தன்​"
OOD_TAM_F_0136,"டென்த்‌து, கேஎஃப்சி, டைஎலெக்ட்ரிக், ஏற்றிருப்பாங்‌க, சங்கீா்த்தனா"
OOD_TAM_F_0137,"ஈஆர்ஓ, ரணஞ்சிவ, கியூஆர், மின்னழுத்தம், இ்ந்தியாவில்"
OOD_TAM_F_0138,"கேஈஸ்வரன், அன்றுஈங்கு, மனஆரோக்கியம், விலைஏறும், வாட்ஸஅப்"
OOD_TAM_F_0139,"வழங்கும்‌, வௌியே, ​​தேவையான, பிஹெச்ஈஎல், லஃது"
OOD_TAM_F_0140,"நாஉ, குடிநீா், பரிசறஎன், ​​சுடும், கௌஷிக்"
OOD_TAM_F_0141,"​​மக்கள், ஓா், இயற்கைஒளிமூலங்கள், கொடுத்ததால், இந்த​"
OOD_TAM_F_0142,"என்‌ன, ஹஷிஸ், ஓஆர்ஓபி, சிவன்ஓஷோபாக்ட்ரியா ,அனந்தஆழ்வான்"
OOD_TAM_F_0143,"ஸன்னிவிஷ்டஹ, புரொஃபெஷனல், ஃப்ளைஓவர்களில், மூஅடி, ஐஎஸ்எப்"
OOD_TAM_F_0144,"கிரிடீஹிலே, ஓளிமயமான, ஜௌகர், வினைஊக்கிகளை, தேவைஇல்லாமல்"
OOD_TAM_F_0145,"ஷட்ஜம்,ஈஆர், ரீஆர்டர், ஞகரம், அஃப்கானிஸ்தான்"
OOD_TAM_F_0146,"தயாராகஉள்ளனர், ஆண்டுகளாகஇவர், ஐஆர்டிஇஏ, தங்கள்உரிமையைஅனுபவிக்கஉள்ளார்கள், ​​தவறுதலாக"
OOD_TAM_F_0147,"தெய்வஅருள், ஷஷி, இஒடி, ‌இருக்கும்‌, வெளிஉலகிற்கு"
OOD_TAM_F_0148,"பாகல்பூா், சுபஅண்ணாமலை, துணைஆணையரிடம், உடலோஇணை, பேடீஎம்மிலிருந்து"
OOD_TAM_F_0149,"தேசியஅளவிலான, ஓஜிஎல், இயஇயர், ஆப்பிரிக்கஅமெரிக்கர்களிலும், இல்லாம‌ல்"
OOD_TAM_F_0150,"ரஃபியுடனும், மூதுரைஓர், விண்ணப்பதாரா்களிடமிருந்து, ஜீஎம், வந்தஆதி"
OOD_TAM_F_0151,"நிர்வாகஅதிகாரி, நுண்ணளவி, தாோ்ந்தெடுக்கப்பட்டாா், சூாிய, சத்தீஷஷ்கர்"
OOD_TAM_F_0152,"கட்டிட்டுஇருக்காங்க, நாட்டிங்ஙாம், அதுஒரு, ஒத்தஎன், மனிதஇனம்"
OOD_TAM_F_0153,"தோஒ, டிஇஓ, நட்டஅறிக்கை, அதேஅளவுக்கு, ஊசிகள்"
OOD_TAM_F_0154,"சுத்தஆவி, ​​முகலாயர்கள், ஜேஇசிசி, ஆஊஉ, எாித்து"
OOD_TAM_F_0155,"நகாில், பிஆா்எஸ், பலவஃறிணையென்ப, இகியூயுஐபி, ஓஎல்ஏ"
OOD_TAM_F_0156,"அஃபர்டபுள், யுஏவி, கிருஷ்ணமூா்த்தி, கலைஞர்ஓவியர், ஐஎன்சிஓஐஎஸ்"
OOD_TAM_F_0157,"ஷட்டவ, சுபஆதி, திணிப்பாங்‌க, ஹஃப், அகவல்ஔவையார்"
OOD_TAM_F_0158,"‌நாய்‌, அசிட்டோஅசெடிக், யூஆர், ஓஜஸா, ​​அறிக்கைக்கு"
OOD_TAM_F_0159,"ஏஆர்ஏஐ, ​​ஹீரோ, வேதிகாஎன்ற, ஊணுறக்கம், விரஆஞ்சநேயசாமி"
OOD_TAM_F_0160,"ஈமெயில்ஸ், இருக்கிறதோஅங்கே, எங்ஙணும், ஒாிசாவை,  மித்ராவாகஇருக்க"
OOD_TAM_F_0161,"பிஜிஐஎம்இஆர், தௌிந்தும், எஸ்ஓஐ, பண்ணா‍ததுக்கு, உள்ளஆத்மாக்கள்"
OOD_TAM_F_0162,"நீஉன், ஔிரும், இஎஸ், ​​உருவங்கள், கேஒய்பி"
OOD_TAM_F_0163,"சட்டஆதரவு, என்பவாிடம், கிழமையோட, ஜிஓசி, குா்பீா்"
OOD_TAM_F_0164,"நாடுகளி்ன், ஏதுவாகஉள்ளது, இடையேஒத்துழைப்புக்கான, கொாரியா, பரஉபகாரத்தை"
OOD_TAM_F_0165,"திணைஐந்து, ஒற்றைஎலிமினேஷன், சகஉறுப்பினர்கள், கேஎம், ஷொன்பேப்"
OOD_TAM_F_0166,"மூலஏடு, சந்தைஇடத்தில், தேவைஅதிகளவில், சுறு்றுலா, கிருஷ்ணஹ"
OOD_TAM_F_0167,"சமூகஅரசியல், ஏஆர்டி, எஃப்ஓஐஎஸ், ​​மோசடியின், வெயிலுகந்தஅம்மன்"
OOD_TAM_F_0168,"ஈஹா, மேக்ஈவன், ஐஃபோன்களுக்கு, ஆா்ச், ஷட்டில்காக்குகள்"
OOD_TAM_F_0169,"கலஃபானு, ஏஸ், இணைஅமைச்சர், என்னுடையதூய்மையானஇந்தியா, தகஎன்று"
OOD_TAM_F_0170,"பொ்மி, மிகஅதிகமான, நீா்க்கரைசலை, அதுவுஇல்லாம, அணுஆயுதம்"
OOD_TAM_F_0171,"ஆா்க்கிமீடியன், கடுமையான​, பெயாிடப்பட்ட, திட்டங்களுக்குஉதவுகின்றன, கந்தஹரி"
OOD_TAM_F_0172,"சிஎம்ஈஆர், டம்மாஉன், புறஅணி, சரியாே, நீர்த்‌தேக்க"
OOD_TAM_F_0173,"ஓஐசிஎல், ஸ்ரீஎஸ்ஜேபோத்தி, சோ்ப்பதாக, ஓஜா, ஹஷானாவை"
OOD_TAM_F_0174,"கொஷினுக்கும், வேலுார், ஏஈடி, ​​அவை, பிாித்தானிய"
OOD_TAM_F_0175,"மாகஒரு, ஹௌஜ்காஸ், ​​பின், ​​அதுவே, யுஓஐ"
OOD_TAM_F_0176," பிபிஇஏ, எம்ஓஇ, ஏஐசிசி, வீரபெருமநல்லுார்,பாெழியும்"
OOD_TAM_F_0177,"ஹஹ், மன்றஎம், சமஅன்பு, தமிழ்‌நாட்டினுடைய, தொலைவுக்குஓடி"
OOD_TAM_F_0178,"வௌியேறிய, பாராஉனி, யுஐசி, சமஅளவில், ஷஹ்டோலுக்கு"
OOD_TAM_F_0179,"யஷ், மேலைஉலகால், சழன்றிடல், டபிள்யூஈ, பீஇ"
OOD_TAM_F_0180,"கன்செல்‌ட்‌, இருக்காங்‌க, அதிகமா‌க, பலஆந்தை, எனஒன்றன்"
OOD_TAM_F_0181,"அஃறிணையாம், களிப்பஉண்டு, ஒன்றஅம், லக்னௌவுக்கு, ஈமெயில்கள்"
OOD_TAM_F_0182,"ஐசோஎனெர்ஜெடிக், தாெலைவு, மறஉரை, அஇஅதிம, ​​குந்தி"
OOD_TAM_F_0183,"வளஆதாரங்களை, கீழஓகை, மாற்றியமைக்கஊக்குவித்தது, தகதகஎன்,ஊண்டாய்"
OOD_TAM_F_0184,"தீர்வைஆகிய,  ஒருஒருத்தங்க, யுற்றஅவு, தஜானி, அஃறிணையே"
OOD_TAM_F_0185,"புரிந்துணர்வுஒப்பந்தம், தொன்னுாற்றி, வருடஆசை, பூஐ, அளிஊடலாம்பரலில்"
OOD_TAM_F_0186,"​​கிருஷ்ணதேவராயாவை, ரீஃபைண்டு, பினஷ்டு, ஶ்ரீராமர்,இறுத்தஎன்"
OOD_TAM_F_0187,"மிகப்பெரியஅளவில், யுஏஈ, ரக்‌ஷித், லோஇயா, அன்றுஒப்புதல்"
OOD_TAM_F_0188,"வடஆரியர், ஏஐஏடபுள்யூ, உஞற்று, வந்தஇப், அஞ்‌சு"
OOD_TAM_F_0189,"கையழுத்திடப்பட்டது, பிசிவிஉள்ளது, பிசிஓக்களை, ​​பழங்கால, யுஏபிஏ"
OOD_TAM_F_0190,"இசைஇரவுகளுக்கும், ​​பார்வையாளர்கள்,  தாெடா்களில், தலைவற்குஓர், வஉசியின்,"
OOD_TAM_F_0191,"தாெடர்ந்து, ரீஏஜெண்ட்களை, ஷௌரி, ஊநீரியல், கல்ஹ​னா"
OOD_TAM_F_0192,"அரைஈரமான, மறுஇணைப்பு, யுஆர்பி, ஈஇஇ, நஹபானாவின்"
OOD_TAM_F_0193,"                         ஊங்கில்லை, கீட்டோஅசிடோசிஸ், இன்பஉணர்வின், அமௌண்ட்‌டு, மைஈர்"
OOD_TAM_F_0194,"எழுதலஎன்னினும், கோஏர், இந்தியஎண்ணெய்இயற்கைஎரிவாயுநிறுவனம், வடஆப்பிரிக்காவின், ஊல்"
OOD_TAM_F_0195,"ஃபேஸ்‌புக், ஃபங்‌ஷன்‌ஸ்‌, பரமஏழைகளின், தலைமைஆசிரியர், அறஎன்
"
